"sep=;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_name;post_title;post_status;post_content;post_excerpt;post_author;post_parent;post_date;comment_status;ping_status;post_image;ait-items;ait-locations;subtitle;featuredItem;headerImage;headerHeight;address;latitude;longitude;streetview;telephone;telephoneAdditional@number;email;showEmail;contactOwnerBtn;web;webLinkLabel;displayOpeningHours;openingHoursMonday;openingHoursTuesday;openingHoursWednesday;openingHoursThursday;openingHoursFriday;openingHoursSaturday;openingHoursSunday;openingHoursNote;displaySocialIcons;socialIconsOpenInNewWindow;socialIcons@icon;socialIcons@link;displayGallery;gallery@title;gallery@image;displayFeatures;features@icon;features@text;features@desc
";manifest-gallery;";Manifest Gallery;;A short description of the initiative by its initiators will appear here shortly.;;707;;;;;ARA_Default_Banner_Thumb_Image-1;;";cincinnati-oh;";;;;;2727 WOODBURN AVE. PO BOX 6218, CINCINNATI, OH 45206;39.128709;-84.477698;;;;jason@manifestgallery.org;1;1;manifestgallery.org;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";institute-193;";Institute 193;;A short description of the initiative by its initiators will appear here shortly.;;708;;;;;ARA_Default_Banner_Thumb_Image-1;;";lexington-ky;";;;;;193 NORTH LIMESTONE ST. LEXINGTON, KY 40507;38.048242;-84.494705;;;;cat@institute193.org;1;1;institute193.org;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";wave-pool-art-space-is-your-space;";Wave Pool Art Space Is Your Space;;A short description of the initiative by its initiators will appear here shortly.;;709;;;;;ARA_Default_Banner_Thumb_Image-1;;";cincinnati-oh;";;;;;2940 COLERAIN AVE. CINCINNATI, OH 45225;39.136055;-84.53671;;;;wavepoolgallery@gmail.com;1;1;wavepoolgallery.org;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";the-division-avenue-arts-collective;";The Division Avenue Arts Collective;;A short description of the initiative by its initiators will appear here shortly.;;710;;;;;ARA_Default_Banner_Thumb_Image-1;;";grand-rapids-mi;";;;;;IN RELOCATION, GRAND RAPIDS, MI 49503;42.9177478;-85.5465733;;;;;1;1;thedaac.org;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";the-green-building-gallery;";The Green Building Gallery;;A short description of the initiative by its initiators will appear here shortly.;;711;;;;;ARA_Default_Banner_Thumb_Image-1;;";loisville-ky;";;;;;732 E. MARKET ST. 3RD FLOOR, LOUISVILLE, KY 40202;38.252863;-85.738748;;;;daniel@thegreenbuildinggallery.com;1;1;thegreenbuilding.net;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";zephyr-gallery;";Zephyr Gallery;;A short description of the initiative by its initiators will appear here shortly.;;712;;;;;ARA_Default_Banner_Thumb_Image-1;;";loisville-ky;";;;;;610 E. MARKET ST. LOUISVILLE, KY 40202;38.253348;-85.741523;;;;;1;1;zephyrgallery.org;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";general-public-collective;";General Public Collective;;A short description of the initiative by its initiators will appear here shortly.;;713;;;;;ARA_Default_Banner_Thumb_Image-1;;";indianapolis-in;";;;;;1060 VIRGINIA AVE. INDIANAPOLIS, IN 46203;39.7526423;-86.140212;;;;info@general-public.us;1;1;general-public.us;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";listen-hear;";Listen Hear;;A short description of the initiative by its initiators will appear here shortly.;;714;;;;;ARA_Default_Banner_Thumb_Image-1;;";indianapolis-in;";;;;;3743 COMMERCIAL DR. INDIANAPOLIS, IN 46222;39.8227391;-86.2268842;;;;info@bigcar.org;1;1;bigcar.org;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";coop;";Coop;;A short description of the initiative by its initiators will appear here shortly.;;715;;;;;ARA_Default_Banner_Thumb_Image-1;;";nashville-tn;";;;;;75 ARCADE, NASHVILLE, TN 37219;36.1645832;-86.7803912;;;;info@coopgallery.org;1;1;coopgallery.org;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";space-one-eleven;";Space One Eleven;;A short description of the initiative by its initiators will appear here shortly.;;716;;;;;ARA_Default_Banner_Thumb_Image-1;;";birmingham-al;";;;;;2409 2ND AVE. N. BIRMINGHAM, AL 35203;33.5181173;-86.8002981;;;;annearrasmith@spaceoneeleven.org;1;1;spaceoneeleven.org;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";sidecar;";Sidecar;;A short description of the initiative by its initiators will appear here shortly.;;717;;;;;ARA_Default_Banner_Thumb_Image-1;;";hammond-in;";;;;;411 HUEHN ST. HAMMOND, IN 46327;41.6341439;-87.5167355;;;;sidecargallery@gmail.com;1;1;gallerysidecar.com;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
