"sep=;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_name;post_title;post_status;post_content;post_excerpt;post_author;post_parent;post_date;comment_status;ping_status;post_image;ait-items;ait-locations;subtitle;featuredItem;headerImage;headerHeight;address;latitude;longitude;streetview;telephone;telephoneAdditional@number;email;showEmail;contactOwnerBtn;web;webLinkLabel;displayOpeningHours;openingHoursMonday;openingHoursTuesday;openingHoursWednesday;openingHoursThursday;openingHoursFriday;openingHoursSaturday;openingHoursSunday;openingHoursNote;displaySocialIcons;socialIconsOpenInNewWindow;socialIcons@icon;socialIcons@link;displayGallery;gallery@title;gallery@image;displayFeatures;features@icon;features@text;features@desc
";various-small-fires;";Various Small Fires;;A short description of the initiative by its initiators will appear here shortly.;;106;;;;;ARA_Default_Banner_Thumb_Image-1;;";los-angeles-ca;";;;;;812 N. HIGHLAND AVE. LOS ANGELES, CA 90038;34.0856992;-118.3384181;;;;info@vsf.la;1;1;vsf.la;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";lax-art;";Lax Art;;A short description of the initiative by its initiators will appear here shortly.;;107;;;;;ARA_Default_Banner_Thumb_Image-1;;";los-angeles-ca;";;;;;7000 Santa Monica Blvd. Hollywood, CA 90038;34.0907086;-118.3418262;;;;info@laxart.org;1;1;http://laxart.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";las-cienegas-projects;";Las Cienegas Projects;;A short description of the initiative by its initiators will appear here shortly.;;108;;;;;ARA_Default_Banner_Thumb_Image-1;;";los-angeles-ca;";;;;;2045 S. La Cienega Blvd. Los Angeles, CA 90034;34.0390242;-118.3776286;;;;lascienegasprojects@gmail.com;1;1;https://lascienegasprojects.wordpress.com/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";clui;";Clui;;A short description of the initiative by its initiators will appear here shortly.;;109;;;;;ARA_Default_Banner_Thumb_Image-1;;";culver-city-ca;";;;;;9331 Venice Blvd., Culver City, CA 90232;34.0259925;-118.3948444;;;;clui@clui.org;1;1;http://clui.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";mkelax;";MkeLax;;A short description of the initiative by its initiators will appear here shortly.;;110;;;;;ARA_Default_Banner_Thumb_Image-1;;";los-angeles-ca;";;;;;LOS ANGELES, CA;33.9415889;-118.40853;;;;;1;1;mke-lax.org;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";trunk-gallery;";Trunk Gallery;;A short description of the initiative by its initiators will appear here shortly.;;111;;;;;ARA_Default_Banner_Thumb_Image-1;;";los-angeles-ca;";;;;;12818 VENICE BLVD. LOS ANGELES, CA 90066;33.9997408;-118.4408373;;;;hello@trunkgallery.org;1;1;trunkgallery.org;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";jaus;";Jaus;;A short description of the initiative by its initiators will appear here shortly.;;112;;;;;ARA_Default_Banner_Thumb_Image-1;;";los-angeles-ca;";;;;;11851 La Grange Ave., Los Angeles, CA, 90025 ;34.0352729;-118.4535818;;;;info@jausart.com;1;1;http://www.jausart.com/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";del-vaz-projects;";Del Vaz Projects;;A short description of the initiative by its initiators will appear here shortly.;;113;;;;;ARA_Default_Banner_Thumb_Image-1;;";los-angeles-ca;";;;;;1600 WESTGATE AVE. #208 LOS ANGELES, CA 90025;34.0411702;-118.459585;;;;jayenayssan@gmail.com;1;1;delvazprojects.com/about;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";18th-street-art;";18Th Street Art;;A short description of the initiative by its initiators will appear here shortly.;;114;;;;;ARA_Default_Banner_Thumb_Image-1;;";santa-monica-ca;";;;;;1639 18th Street Santa Monica CA 90404;34.023855;-118.4777478;;;;office@18thstreet.org;1;1;http://18thstreet.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";the-holland-project;";The Holland Project;;A short description of the initiative by its initiators will appear here shortly.;;115;;;;;ARA_Default_Banner_Thumb_Image-1;;";reno-nv;";;;;;140 VESTA ST. RENO, NV 89502;39.509635;-119.80367;;;;hollandreno@gmail.com;1;1;hollandreno.org;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
