sep=;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_name;post_title;post_status;post_content;post_excerpt;post_author;post_parent;post_date;comment_status;ping_status;post_image;ait-items;ait-locations;subtitle;featuredItem;headerImage;headerHeight;address;latitude;longitude;streetview;telephone;telephoneAdditional@number;email;showEmail;contactOwnerBtn;web;webLinkLabel;displayOpeningHours;openingHoursMonday;openingHoursTuesday;openingHoursWednesday;openingHoursThursday;openingHoursFriday;openingHoursSaturday;openingHoursSunday;openingHoursNote;displaySocialIcons;socialIconsOpenInNewWindow;socialIcons@icon;socialIcons@link;displayGallery;gallery@title;gallery@image;displayFeatures;features@icon;features@text;features@desc
u-s-blues;U.S. Blues;publish;A short description of the initiative by its initiators will appear here shortly.;;507;;;;;ARA_Default_Banner_Thumb_Image-1;;new-york-ny;;0;;;29 ASH ST. #105. BROOKLYN, NY 11222;40.7385371;-73.9537322;;;;info@usblu.es;1;1;usblu.es;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
soloway;Soloway;publish;A short description of the initiative by its initiators will appear here shortly.;;508;;;;;ARA_Default_Banner_Thumb_Image-1;;new-york-ny;;0;;;384 S. 4TH ST. BROOKLYN, NY 11211;40.7085269;-73.954162;;;;contactsoloway@gmail.com;1;1;soloway.info;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
lic-a;Lic-A;publish;A short description of the initiative by its initiators will appear here shortly.;;509;;;;;ARA_Default_Banner_Thumb_Image-1;;long-island-city-ny;;0;;;5-25 46th Avenue - Queens, NY 11101;40.7475058;-73.954225;;;;;1;1;http://www.licartists.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
106-green;106 Green;publish;A short description of the initiative by its initiators will appear here shortly.;;510;;;;;ARA_Default_Banner_Thumb_Image-1;;new-york-ny;;0;;;104 Green Street, #3. Brooklyn, NY 11222;40.733235;-73.9573319;;;;106green@gmail.com;1;1;http://www.106green.com/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
booklyn;Booklyn;publish;A short description of the initiative by its initiators will appear here shortly.;;511;;;;;ARA_Default_Banner_Thumb_Image-1;;new-york-ny;;0;;;37 Greenpoint Avenue 4th Floor, Suite E4G Brooklyn, NY 11222;40.729987;-73.958938;;;;maya@booklyn.org;1;1;http://booklyn.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
not-an-alternative;Not An Alternative;publish;A short description of the initiative by its initiators will appear here shortly.;;512;;;;;ARA_Default_Banner_Thumb_Image-1;;new-york-ny;;0;;;67 West Street. Greenpoint, Brooklyn, NY;40.7286044;-73.9593789;;;;info@notanalternative.net;1;1;http://notanalternative.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
five-myles;Five Myles;publish;A short description of the initiative by its initiators will appear here shortly.;;513;;;;;ARA_Default_Banner_Thumb_Image-1;;new-york-ny;;0;;;558 ST. JOHNS PL. BROOKLYN, NY 11238;40.672629;-73.959636;;;;info@fivemyles.org;1;1;fivemyles.org;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
little-nassau;Little Nassau;publish;A short description of the initiative by its initiators will appear here shortly.;;514;;;;;ARA_Default_Banner_Thumb_Image-1;;new-york-ny;;0;;;50 TAAFFE PL. 3RD FLOOR, BROOKLYN, NY 11205;40.697512;-73.9612278;;;;info@littlenassau.biz;1;1;littlenassau.biz;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
southfirst;Southfirst;publish;A short description of the initiative by its initiators will appear here shortly.;;515;;;;;ARA_Default_Banner_Thumb_Image-1;;new-york-ny;;0;;;60 N. 6TH ST. BROOKLYN, NY 11211;40.7192665;-73.9619055;;;;info@southfirst.org;1;1;southfirst.org;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
franklin-furance;Franklin Furance;publish;A short description of the initiative by its initiators will appear here shortly.;;516;;;;;ARA_Default_Banner_Thumb_Image-1;;new-york-ny;;0;;;200 Willoughby Ave. BROKLYN NY 11205;40.691805;-73.9635588;;;;mail@franklinfurnace.org;1;1;http://www.franklinfurnace.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
leimay;Leimay;publish;A short description of the initiative by its initiators will appear here shortly.;;517;;;;;ARA_Default_Banner_Thumb_Image-1;;new-york-ny;;0;;;58 Grand st. Brooklyn 11211 USA;40.7158761;-73.9649558;;;;managment@leimay.org;1;1;http://leimaymain.cavearts.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
bomb-magazine;Bomb Magazine;publish;A short description of the initiative by its initiators will appear here shortly.;;518;;;;;ARA_Default_Banner_Thumb_Image-1;;new-york-ny;;0;;;80 Hanson Place, Suite 703, Brooklyn, NY 11217-1506;40.6852538;-73.9744259;;;;info@bombsite.com;1;1;http://bombmagazine.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
sugar;Sugar;publish;A short description of the initiative by its initiators will appear here shortly.;;519;;;;;ARA_Default_Banner_Thumb_Image-1;;new-york-ny;;0;;;449 TROUTMAN ST. #3-5, 3RD FLOOR, BROOKLYN, NY 11237;40.6825379;-73.9751207;;;;sugar@sugarbushwick.com;1;1;sugarbushwick.com;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
public-art-fund;Public Art Fund;publish;A short description of the initiative by its initiators will appear here shortly.;;520;;;;;ARA_Default_Banner_Thumb_Image-1;;new-york-ny;;0;;;One East 53rd Street, New York, NY 10022;40.7603546;-73.975208;;;;info@publicartfund.org;1;1;http://www.publicartfund.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
a-gathering-of-the-tribes;A Gathering Of The Tribes;publish;A short description of the initiative by its initiators will appear here shortly.;;521;;;;;ARA_Default_Banner_Thumb_Image-1;;new-york-ny;;0;;;745 E. 6th St Apt. 1A, New York, NY 10009;40.7228687;-73.9772746;;;;gatheringofthetribes@gmail.com;1;1;http://www.tribes.org/web/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
urban-glass;Urban Glass;publish;A short description of the initiative by its initiators will appear here shortly.;;522;;;;;ARA_Default_Banner_Thumb_Image-1;;new-york-ny;;0;;;647 Fulton Street, Brooklyn, NY 11217;40.6887185;-73.9791044;;;;info@urbanglass.org;1;1;https://www.urbanglass.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
bric-artsmediabklyn;Bric ArtsMediaBklyn;publish;A short description of the initiative by its initiators will appear here shortly.;;523;;;;;ARA_Default_Banner_Thumb_Image-1;;new-york-ny;;0;;;647 FULTON ST. BROOKLYN, NY 11217;40.6886419;-73.9791298;;;;bric@bricartsmedia.org;1;1;www.bricartsmedia.org;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
